Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Celebration,"Khalpara, Siliguri","North Indian, Chinese, Fast Food, Street Food, South Indian",₹450 for two,https://www.zomato.com/siliguri/celebration-khalpara/info,Siliguri,"Spencer Plaza, Burdwan Road, Khalpara, Siliguri",8am – 10:30pm,"+919679999785,+919679999786",3.9,66,4.2,"1,135"
Sher-E-Punjab Restaurant,"Pradhan Nagar, Siliguri","North Indian, Biryani, Chinese, Mughlai, South Indian, Healthy Food, Desserts, Beverages",₹700 for two,https://www.zomato.com/siliguri/sher-e-punjab-restaurant-pradhan-nagar/info,Siliguri,"Ward 3, Hillcart Road, Pradhan Nagar, Siliguri",Opens at 9am,+919614764121,3.9,454,3.5,30.9K
Balajee Bhog,"Janta Nagar, Siliguri","North Indian, Fast Food, Street Food, Bakery, South Indian, Chinese, Mithai",₹450 for two,https://www.zomato.com/siliguri/balajee-bhog-janta-nagar/info,Siliguri,"H/443/A/534/434, Barua Square, Sevoke Road, Janta Nagar, Siliguri",8am – 11pm,+919800700590,3.2,17,4.2,"7,293"
G O A T Cafeteria,"Khalpara, Siliguri","Fast Food, Shake, Beverages",₹300 for two,https://www.zomato.com/siliguri/g-o-a-t-cafeteria-khalpara/info,Siliguri,"Time Square Building, Sevoke Road, Khalpara, Siliguri",6:30am – 10pm,+919091909000,-,0,-,0
Starbucks Coffee,"Patiram Jote, Siliguri","Cafe, Coffee, Beverages, Desserts",₹300 for two,https://www.zomato.com/siliguri/starbucks-coffee-patiram-jote/info,Siliguri,"CCSGF 0019, Ground Floor, Block F, City Centre, Mauja Ujanu, Darjeeling, Patiram Jote, Siliguri",8am – 11pm,+918976733668,-,3,4.4,"1,840"
Momo Hut,"Khalpara, Siliguri","Momos, Beverages",₹300 for two,https://www.zomato.com/siliguri/momo-hut-khalpara/info,Siliguri,"Ward 6, Hill Cart Road, Opposite HDFC Bank, Khalpara, Siliguri",Opens at 9:30am,"+916296828770,+917602089666",4.4,181,4.3,"4,792"
The Four Vedas,"Patiram Jote, Siliguri",North Indian,₹500 for two,https://www.zomato.com/siliguri/the-four-vedas-patiram-jote/info,Siliguri,"Khaprail Road, Near Vastu Vihar, Matigara, Patiram Jote, Siliguri",8am – 11pm,+919932073000,-,3,-,0
Essence By Encore,"Bankim Nagar, Siliguri","Continental, North Indian, Fast Food, Asian, Burger, Sandwich, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/siliguri/essence-by-encore-bankim-nagar/info,Siliguri,"100/A/91/1, 2nd Mile, Sevoke Road, Bankim Nagar, Siliguri",7:30am – 10:30pm,+918258882222,3.9,5,3.0,18
Subway,"Patiram Jote, Siliguri","Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",₹400 for two,https://www.zomato.com/siliguri/subway-patiram-jote/info,Siliguri,"B-0003, City Centre, Block B, Matigara, Darjeeling, Patiram Jote, Siliguri",Opens at 9:30am,"+913532576840,+918334888751",3.7,80,3.7,"3,114"
Anna Ka Dukaan,"Janta Nagar, Siliguri","South Indian, Beverages",₹300 for two,https://www.zomato.com/siliguri/anna-ka-dukaan-1-janta-nagar/info,Siliguri,"Savoke Road, Janta Nagar, Siliguri",Opens at 9:30am,+919629489898,-,1,4.2,440
Guru Sweets & Snacks,"Subhas Pally, Siliguri","South Indian, Chinese, Street Food, Fast Food",₹250 for two,https://www.zomato.com/siliguri/guru-sweets-snacks-subhas-pally/info,Siliguri,"Mandir Lane, Ward 35, Babupara, Khalpara, Siliguri",Opens at 9am,+917602884899,3.9,13,4.1,247
Jain Jaika Bhojnalaya,"Khalpara, Siliguri",North Indian,₹300 for two,https://www.zomato.com/siliguri/jain-jaika-bhojnalaya-khalpara/info,Siliguri,"H/546/284/244, Sevoke Road, Khalpara, Siliguri",Opens at 9am,+919832026855,3.8,35,4.3,"1,228"
Penthouse Bar Kitchen & Cocktails,"Pradhan Nagar, Siliguri","North Indian, Mughlai, Chinese, Seafood, Biryani",₹800 for two,https://www.zomato.com/siliguri/penthouse-bar-kitchen-cocktails-pradhan-nagar/info,Siliguri,"H/1620/A/2, Mallaguri, Pradhan Nagar, Siliguri",Opens at 11am,+919733017000,4.0,83,4.1,"3,699"
Barsana Hotel & Resort,"Patiram Jote, Siliguri",North Indian,₹600 for two,https://www.zomato.com/siliguri/barsana-hotel-resort-patiram-jote/info,Siliguri,"Khaprail Road, Matigara, Patiram Jote, Siliguri",8am – 10pm,+913532571664,-,0,-,0
Gokul Fresh,"Bankim Nagar, Siliguri","Street Food, North Indian, Chinese",₹400 for two,https://www.zomato.com/siliguri/gokul-fresh-bankim-nagar/info,Siliguri,"PRM Sevoke 1, Sevoke Road, Bankim Nagar, Siliguri",Opens at 8:30am,+919339489874,3.9,52,4.1,"7,297"
Sartaj Bar & Restaurant,"Khalpara, Siliguri","Beverages, Chinese, Mughlai, North Indian",₹750 for two,https://www.zomato.com/siliguri/sartaj-bar-restaurant-khalpara/info,Siliguri,"House 127/415/159, New Ranjit Complex, Hill Cart Road, Khalpara, Siliguri",Opens at 9am,+919933419661,4.1,36,3.9,411
WOW! Chicken by WOW! Momo,"Janta Nagar, Siliguri","Fast Food, American, Burger, Beverages",₹400 for two,https://www.zomato.com/siliguri/wow-chicken-by-wow-momo-janta-nagar/info,Siliguri,"FC 4B, 5th Floor, M L Acropolis, Sevoke Road, Opposite Anandaloke Hospital, Janta Nagar, Siliguri",Opens at 10am,"+919147152778,+919836198361",3.8,56,3.9,576
Makhan Bhog Food Products PVT. LTD.,"Janta Nagar, Siliguri","Street Food, Mithai, Desserts, Chinese",₹200 for two,https://www.zomato.com/siliguri/makhan-bhog-food-products-pvt-ltd-janta-nagar/info,Siliguri,"Apollo Towers, Sevoke Road, Ward 10, Janta Nagar, Siliguri",8am – 8:30pm,+917584023470,-,1,-,0
Botanico The Juice Bar & Kitchen,"Pradhan Nagar, Siliguri","Juices, Shake, Beverages, North Indian, Chinese, Fast Food, Street Food, Desserts",₹450 for two,https://www.zomato.com/siliguri/botanico-the-juice-bar-kitchen-pradhan-nagar/info,Siliguri,"Meghnad Saha Sarani, SBI Building, Pradhan Nagar, Siliguri",Opens at 9:30am,+919002978787,-,1,4.0,14
Biggies Burger,"Bankim Nagar, Siliguri","Burger, Fast Food, Beverages",₹300 for two,https://www.zomato.com/siliguri/biggies-burger-bankim-nagar/info,Siliguri,"2nd Mile, Sevoke Road, P.S- Bhakti Nagar, Ward 41, Bankim Nagar, Siliguri",Opens at 9am,+919650240420,3.9,27,4.2,783
Khabar Restaurant,"Janta Nagar, Siliguri","Chinese, Biryani",₹200 for two,https://www.zomato.com/siliguri/khabar-restaurant-janta-nagar/info,Siliguri,"Ward 39, B.B.D. Sarani Main Road, Janta Nagar, Siliguri",24 Hours,+919083519189,-,1,-,1
Eat & Meet Cafe,"Janta Nagar, Siliguri","Pizza, Burger, Fast Food, Shake",₹500 for two,https://www.zomato.com/siliguri/eat-meet-cafe-janta-nagar/info,Siliguri,"Hill Cart Road, PO And PS, Near Vi Store, Janta Nagar, Siliguri",Opens at 9am,+919832461100,4.2,51,4.4,10.2K
Zaika Biriyani House,"Khalpara, Siliguri","Rolls, North Indian, Bengali",₹400 for two,https://www.zomato.com/siliguri/zaika-biriyani-house-khalpara/info,Siliguri,"H/79/2/1/281, M.N Para, Ward 6, Burdwan Road, Khalpara, Siliguri",Opens at 11am,+917602281786,4.3,640,4.2,16.3K
Oh My Govinda,"Janta Nagar, Siliguri","North Indian, South Indian, Chinese, Beverages, Sichuan",₹450 for two,https://www.zomato.com/siliguri/oh-my-govinda-janta-nagar/info,Siliguri,"1st Floor, Sky View Building, Ward 41, Sevoke Road, Opposite Gemhouse, Janta Nagar, Siliguri",8am – 11pm,+919002950504,3.9,131,4.0,"9,680"
Krishna Rasoi,"Haidar Para, Siliguri","North Indian, Street Food",₹250 for two,https://www.zomato.com/siliguri/krishna-rasoi-haidar-para/info,Siliguri,"Pranami Mandir Road, Haidar Para, Siliguri",Opens at 9am,+918918352369,-,1,-,0
Hotel Uttara,"Khalpara, Siliguri","Bengali, North Indian",₹300 for two,https://www.zomato.com/siliguri/hotel-uttara-khalpara/info,Siliguri,"Bimal Sinha Sarani, Ward 12, Khalpara, Siliguri",Opens at 9:30am,"+918250291843,+913533585964",4.2,143,3.9,"8,735"
Paul - Punjabi Family Restaurant,"Janta Nagar, Siliguri","North Indian, Biryani, Chinese, Mughlai, Fast Food",₹600 for two,https://www.zomato.com/siliguri/paul-punjabi-family-restaurant-janta-nagar/info,Siliguri,"H/706/255/182, Hill Cart Road, Janta Nagar, Siliguri",8am – 11pm,+913532431543,4.0,186,4.0,"9,392"
Barbeque Nation,"Bankim Nagar, Siliguri","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,700 for two",https://www.zomato.com/siliguri/barbeque-nation-bankim-nagar/info,Siliguri,"PRM Sevoke 1, 2nd Floor, Sevoke Road, Bankim Nagar, Siliguri",Opens at 12noon,"+916290918836,+916289800520",4.5,154,3.8,"2,601"
The Green Bar,"Pradhan Nagar, Siliguri","Italian, Fast Food",₹500 for two,https://www.zomato.com/siliguri/the-green-bar-1-pradhan-nagar/info,Siliguri,"Ward 3, Nivedita Road, Pradhan Nagar, Siliguri",Opens at 9am,+918101436783,4.0,126,4.4,"3,553"
Soma Hotel,"Patiram Jote, Siliguri",Bengali,₹500 for two,https://www.zomato.com/siliguri/soma-hotel-1-patiram-jote/info,Siliguri,"Old Matigara Road, Near Chandmuni Shiv Mandir, Patiram Jote, Siliguri",Opens at 9am,+918918835648,-,1,3.9,23
Hotel Central Plaza,"Pradhan Nagar, Siliguri","North Indian, Chinese, Mughlai, Biryani, Sichuan",₹400 for two,https://www.zomato.com/siliguri/hotel-central-plaza-pradhan-nagar/info,Siliguri,"H/765, Mallaguri, Hill Cart Road, Pradhan Nagar, Siliguri",7am – 10pm,+918389060143,3.4,27,4.0,14K
Momo Wood,"Subhas Pally, Siliguri","Momos, Chinese",₹100 for two,https://www.zomato.com/siliguri/momo-wood-subhas-pally/info,Siliguri,"Court More, Opposite Dhronas Institute, Subhas Pally, Siliguri",5am – 10pm,+919019882240,-,1,-,0
Eclair By Ramada Encore,"Bankim Nagar, Siliguri","Cafe, Beverages, Desserts, Fast Food","₹1,400 for two",https://www.zomato.com/siliguri/eclair-by-ramada-encore-1-bankim-nagar/info,Siliguri,"100 A, 2nd Mile, Sevoke Road, Opposite Uttarbanga Marwari Palace, Bankim Nagar, Siliguri",7:30am – 10:30pm,+918258882222,-,0,-,0
Saffron - The Loft Hotel,"Pradhan Nagar, Siliguri","North Indian, Chinese, Mughlai, Continental, Himachali, Italian, Desserts, Beverages",₹600 for two,https://www.zomato.com/siliguri/saffron-the-loft-hotel-pradhan-nagar/info,Siliguri,"Near Icici Bank, Nivedita Road, Pradhan Nagar, Siliguri",Opens at 9am,+917479007520,3.9,29,4.2,"4,169"
The Great Indian Kitchen,"Pradhan Nagar, Siliguri","Chinese, Continental, North Indian, Mughlai, Seafood, Biryani, Beverages, Sichuan",₹600 for two,https://www.zomato.com/siliguri/the-great-indian-kitchen-pradhan-nagar/info,Siliguri,"Near Mahananda Bridge, Hill Cart Road, Pradhan Nagar, Siliguri",7:30am – 11:30pm,"+918128120889,+913532511189,+918877666889",4.2,16,3.8,697
Haldiram's,"Janta Nagar, Siliguri","Mithai, Chinese, Fast Food, North Indian, South Indian, Street Food, Bakery",₹600 for two,https://www.zomato.com/siliguri/haldirams-janta-nagar/info,Siliguri,"HC Road, Janta Nagar, Siliguri",Opens at 9am,"+919832098322,+919002508611",4.0,49,-,0
Mio Amore,"Patiram Jote, Siliguri",Bakery,₹100 for two,https://www.zomato.com/siliguri/mio-amore-patiram-jote/info,Siliguri,"Outer Circle, City Centre Mall, Purnea Siliguri Road, Patiram Jote, Siliguri",Opens at 9am,+919083013596,3.8,45,-,0
Laddoo Gopal,"Bankim Nagar, Siliguri","Mithai, Chinese, South Indian, Fast Food, North Indian",₹350 for two,https://www.zomato.com/siliguri/laddoo-gopal-1-bankim-nagar/info,Siliguri,"Times Square Building, Sevoke Road, Bankim Nagar, Siliguri",Opens at 8:30am,"+917810812299,+913533500394",3.4,7,4.2,"2,748"
Punjabi Kadhai,"Janta Nagar, Siliguri","North Indian, Chinese, Continental, Mughlai, Shake",₹700 for two,https://www.zomato.com/siliguri/punjabi-kadhai-1-janta-nagar/info,Siliguri,"Near Anandloke Hospital, Sidhi Arcade, Sevoke Road, Janta Nagar, Siliguri",Opens at 10am,"+919832645678,+913532545678",4.6,419,4.3,"4,449"
KFC,"Bankim Nagar, Siliguri","Burger, Fast Food, Biryani, Desserts, Beverages",₹500 for two,https://www.zomato.com/siliguri/kfc-6-bankim-nagar/info,Siliguri,"Shop 5 & 6, Ml Acropolis Mall, Sevoke Road, Bankim Nagar, Siliguri",Opens at 12noon,+918506979028,4.0,96,4.1,656
Tamarynd Lounge & Restaurant,"Bankim Nagar, Siliguri","North Indian, Finger Food, Continental, Italian, Seafood, Chinese, Mughlai, Asian","₹1,200 for two",https://www.zomato.com/siliguri/tamarynd-lounge-restaurant-bankim-nagar/info,Siliguri,"4th Floor, 2nd Mile, Sevoke Road, Opposite Bhaktinagar Police Station, Bankim Nagar, Siliguri",24 Hours,"+913532540114,+918101915007,+917076926610",4.3,45,4.1,157
Bawarchee - The Mughal Zyka,"Pradhan Nagar, Siliguri","Biryani, North Indian, Mughlai, Beverages, Shake",₹800 for two,https://www.zomato.com/siliguri/bawarchee-the-mughal-zyka-pradhan-nagar/info,Siliguri,"Hill Cart Road, Near Mahananda Bridge, Pradhan Nagar, Siliguri",Opens at 9am,"+917479041114,+919593902220,+919593905550",4.1,90,4.0,"4,007"
Epare Bangla,"Pradhan Nagar, Siliguri","Bengali, Bangladeshi, North Indian, Desserts, Beverages",₹650 for two,https://www.zomato.com/siliguri/epare-bangla-pradhan-nagar/info,Siliguri,"H/765, Siliguri Municipal Corporation, Mallaguri, Pradhan Nagar, Siliguri",Opens at 12noon,+919883499792,3.6,78,4.2,19.4K
Citrus Cafe,"Bankim Nagar, Siliguri","North Indian, Italian, Continental, Chinese","₹1,600 for two",https://www.zomato.com/siliguri/citrus-cafe-bankim-nagar/info,Siliguri,"Lemon Tree Hotel, Crescent Tower, 3rd Mile, Sevoke Road, Bankim Nagar, Siliguri",7am – 11pm,+917477799836,3.9,46,-,0
Unique Sweets & Snacks,"Janta Nagar, Siliguri","Fast Food, Mithai",₹150 for two,https://www.zomato.com/siliguri/unique-sweets-snacks-janta-nagar/info,Siliguri,"Mangaldeep Building, H.C Road, Janta Nagar, Siliguri",Opens at 9am,+919679998140,-,3,4.3,"3,350"
Wow Pork,"Pradhan Nagar, Siliguri","Momos, Chinese",₹300 for two,https://www.zomato.com/siliguri/wow-pork-pradhan-nagar/info,Siliguri,"Patel Nagar, Near Creamy Creation, Ward 2, Pradhan Nagar, Siliguri",Opens at 9:30am,+919733112713,-,2,4.3,55
Aminia,"Janta Nagar, Siliguri","North Indian, Mughlai, Biryani, Kebab, Desserts, Beverages",₹400 for two,https://www.zomato.com/siliguri/aminia-janta-nagar/info,Siliguri,"Sky Star Building, Pani Tanki More, Sevoke Road, Janta Nagar, Siliguri",Opens at 11:15am,+916292271555,4.1,226,4.2,"8,781"
Nirvana - By Sri Ram Paradise,"Khalpara, Siliguri","North Indian, Chinese, Beverages",₹300 for two,https://www.zomato.com/siliguri/nirvana-by-sri-ram-paradise-khalpara/info,Siliguri,"Agrasen Road, Near Gandhi Maidan, Khalpara, Siliguri",Opens at 9:30am,+913532502339,3.7,29,4.1,"1,486"
Sagar Family Restaurant,"Bankim Nagar, Siliguri","North Indian, Chinese, Street Food, South Indian, Fast Food, Beverages",₹500 for two,https://www.zomato.com/siliguri/sagar-family-restaurant-bankim-nagar/info,Siliguri,"Ground Floor, Space Town Apartment, Near Check Post, Bankim Nagar, Siliguri",Opens at 10am,"+913532545448,+919832077344",4.0,406,4.1,13.3K
Open House Cafe & Pub,"Bankim Nagar, Siliguri","North Indian, Chinese, Fast Food, Beverages, Pizza, Italian","₹1,100 for two",https://www.zomato.com/siliguri/open-house-cafe-pub-bankim-nagar/info,Siliguri,"H/22/2473/1/T, Ward 43, Sevoke Road, Bankim Nagar, Siliguri",Opens at 12noon,"+919609601818,+919769826692",4.9,199,4.1,"1,017"
Two And A Half Mile Cafe,"Bankim Nagar, Siliguri","Cafe, Coffee, Sandwich, Continental, Fast Food, Pasta, Desserts","₹1,100 for two",https://www.zomato.com/siliguri/two-and-a-half-mile-cafe-2-bankim-nagar/info,Siliguri,"Checkpost, Bankim Nagar, Siliguri",Opens at 10:30am,"+919800087881,+919641961245",4.2,23,4.3,139
Icche Bari,"Subhas Pally, Siliguri","Bengali, Chinese",₹500 for two,https://www.zomato.com/siliguri/icche-bari-subhas-pally/info,Siliguri,"Azad Hind Sarani, Ward 20, Subhas Pally, Siliguri",7am – 10pm,+913532537530,3.8,9,-,0
Rajasthani Tadka,"Khalpara, Siliguri","Beverages, Street Food",₹200 for two,https://www.zomato.com/siliguri/rajasthani-tadka-khalpara/info,Siliguri,"Opposite LIC Building, SF Road, Khalpara, Siliguri","7:30am – 11am, 4pm – 10pm",+919549824287,3.9,6,4.3,415
Chai Mine,"Patiram Jote, Siliguri","Tea, Beverages, Fast Food, Street Food",₹100 for two,https://www.zomato.com/siliguri/chai-mine-patiram-jote/info,Siliguri,"Ganpati Plaza, Patiram Jote, Siliguri",Opens at 9:30am,+918269138420,-,2,3.5,5
Unique Sweets And Snacks,"Pradhan Nagar, Siliguri","Mithai, North Indian, Fast Food",₹200 for two,https://www.zomato.com/siliguri/unique-sweets-and-snacks-pradhan-nagar/info,Siliguri,"Shanti Tower, Near Bajaj Showroom, Sevoke Road, Pradhan Nagar, Siliguri",Opens at 8:30am,+919679998141,4.0,55,3.9,"3,350"
Shan- E- Punjab,"Janta Nagar, Siliguri","North Indian, Biryani, Chinese",₹500 for two,https://www.zomato.com/siliguri/shan-e-punjab-janta-nagar/info,Siliguri,"17, Hill Cart Road, Near Air-View Hotel, Janta Nagar, Siliguri",Opens at 9am,+916294620056,3.9,79,4.2,"6,546"
Kaidi Kitchen,"Bankim Nagar, Siliguri","Salad, Continental, Mexican, Chinese, North Indian, Sichuan",₹900 for two,https://www.zomato.com/siliguri/kaidi-kitchen-bankim-nagar/info,Siliguri,"Third Floor, 2nd Mile, Sevoke Road, Opposite Cosmos mall, Bankim Nagar, Siliguri",Opens at 12noon,"+919002934343,+919002915151",4.2,89,3.6,361
Kundu's Kitchen,"Bankim Nagar, Siliguri","North Indian, Biryani",₹300 for two,https://www.zomato.com/siliguri/kundus-kitchen-1-bankim-nagar/info,Siliguri,"Ward 43, Sevoke Road, Bankim Nagar, Siliguri",Opens at 11am,+919733311123,3.8,9,4.3,40
Ram Paradise,"Khalpara, Siliguri","North Indian, Chinese, Fast Food",₹400 for two,https://www.zomato.com/siliguri/ram-paradise-khalpara/info,Siliguri,"House 498/518, Agrasen Road, Khalpara, Siliguri",Opens at 9:30am,+913532502339,3.4,22,4.1,"1,763"
Poddar Hotel,"Pradhan Nagar, Siliguri","North Indian, Biryani, Rolls, Beverages",₹350 for two,https://www.zomato.com/siliguri/poddar-hotel-pradhan-nagar/info,Siliguri,"Near Juma Masjid, Purnea Road, Pradhan Nagar, Siliguri",24 Hours,+917001591582,3.3,33,3.9,"1,686"
Wild Orchid restaurant - Central Courtyard Boutique Resort,"Bankim Nagar, Siliguri","North Indian, Chinese, Biryani",₹500 for two,https://www.zomato.com/siliguri/wild-orchid-restaurant-central-courtyard-boutique-resort-bankim-nagar/info,Siliguri,"2nd Mile, Sevoke Rd, Sharkar Para. Ward 41, Beside Sevoke Motors, Maruti Show Room., Siliguri, Bankim Nagar, Siliguri",7am – 10pm,+919083297613,3.4,19,3.9,293
Hotel Saffron Crest,"Bankim Nagar, Siliguri","North Indian, Chinese",₹400 for two,https://www.zomato.com/siliguri/hotel-saffron-crest-1-bankim-nagar/info,Siliguri,"2.5 Mile Sevoke Road, Near Forest Check, Bankim Nagar, Siliguri",8am – 10pm,+919475387551,2.8,4,4.3,61
Mama Hotel & Restaurant,"Pradhan Nagar, Siliguri","North Indian, Chinese, Rolls, Beverages, Street Food",₹350 for two,https://www.zomato.com/siliguri/mama-hotel-restaurant-pradhan-nagar/info,Siliguri,"Hill Cart Road, Pradhan Nagar, Siliguri",8am – 12midnight,+918927672031,3.7,181,3.6,"5,740"
Taste Of Bengali Bhojan,"Khalpara, Siliguri","Bengali, North Indian, Fast Food",₹200 for two,https://www.zomato.com/siliguri/taste-of-bengali-bhojan-khalpara/info,Siliguri,"Natunpara, Ward 5, Jalpai More, Khalpara, Siliguri",Opens at 9am,+919734010397,3.2,54,3.4,"1,616"
Dhaba By Amber,"Khalpara, Siliguri","North Indian, Chinese, Desserts",₹500 for two,https://www.zomato.com/siliguri/dhaba-by-amber-khalpara/info,Siliguri,"Saluja Residency, Hill Cart Road, Near Sevoke More, Khalpara, Siliguri",Opens at 11am,"+918130248040,+919800080100",4.5,428,4.3,"5,390"
The Chai Box,"Pradhan Nagar, Siliguri","Tea, Beverages",₹100 for two,https://www.zomato.com/siliguri/the-chai-box-pradhan-nagar/info,Siliguri,"Shop 23, Uttarapan Market Complex, Hillcart Road, Pradhan Nagar, Siliguri",7am – 10pm,+918240622582,3.4,5,4.4,729
Dosa King Pure Veg Cafe,"Pradhan Nagar, Siliguri","South Indian, Chinese, Fast Food, Beverages",₹250 for two,https://www.zomato.com/siliguri/dosa-king-pure-veg-cafe-pradhan-nagar/info,Siliguri,"131-A-2552-N, Sevok Road, Near Anandaloke Hospital, Pradhan Nagar, Siliguri",Opens at 9am,+917679630373,-,1,4.2,41
Burger World,"Bankim Nagar, Siliguri","Burger, Sandwich, Pizza, Wraps, Beverages",₹250 for two,https://www.zomato.com/siliguri/burger-world-bankim-nagar/info,Siliguri,"PBR Tower, Basement Floor, 2.5 Mile, Sevoke Road, Bankim Nagar, Siliguri",Opens at 9am,+918768774777,3.7,33,4.0,"1,067"
Baba Restaurant And Biryani Point,"Pradhan Nagar, Siliguri","Biryani, North Indian, Chinese",₹300 for two,https://www.zomato.com/siliguri/baba-restaurant-and-biryani-point-pradhan-nagar/info,Siliguri,"Ward 1, Hill Cart Road, Opposite Central Bus Terminal, Pradhan Nagar, Siliguri",Opens at 8:30am,+919832369290,3.3,12,3.6,"1,501"
Sri Mahabir Bhojanalya,"Khalpara, Siliguri","North Indian, Chinese, South Indian, Street Food, Beverages",₹500 for two,https://www.zomato.com/siliguri/sri-mahabir-bhojanalya-khalpara/info,Siliguri,"Sevak Mor, Hill Cart Road, Khalpara, Siliguri",Opens at 9am,+919800065111,3.1,39,4.1,719
Dragon's Valley Cafe,"Saktigarh, Siliguri","Fast Food, Street Food, Beverages",₹150 for two,https://www.zomato.com/siliguri/dragons-valley-cafe-saktigarh/info,Siliguri,"16723, Netaji Colony, Naukaghat, Saktigarh, Siliguri",12midnight – 11:45pm,+919933468775,-,0,3.3,123
Shawarma Bar,"Janta Nagar, Siliguri","Lebanese, Fast Food, Desserts, Beverages",₹300 for two,https://www.zomato.com/siliguri/shawarma-bar-janta-nagar/info,Siliguri,"Gurung Basty, Bhanu Bhakta Sarani, Ward 3, Janta Nagar, Siliguri",7:30am – 11:15pm,+918918293228,3.9,20,3.1,"1,304"
Biryani By Kilo,"Janta Nagar, Siliguri","Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",₹700 for two,https://www.zomato.com/siliguri/biryani-by-kilo-janta-nagar/info,Siliguri,"Ground Floor, Quest Ujagar, Pranami Mandir Road, Near Bank Of India, Janta Nagar, Siliguri",Opens at 10am,18002122212,4.2,242,4.2,"5,170"
Taco Bell,"Vega Circle Mall, Bankim Nagar, Siliguri",Mexican,₹500 for two,https://www.zomato.com/siliguri/taco-bell-bankim-nagar/info,Siliguri,"Shop 12, Holding 2261/A/N, 4th Floor, Food Court, Vega Circle Mall, 3rd Mile, Sevoke Road, Bankim Nagar, Siliguri",Opens at 11am,+917669268596,3.8,55,4.0,"1,087"
Prasad Hotel,"Janta Nagar, Siliguri","North Indian, Bengali, Biryani, Salad",₹250 for two,https://www.zomato.com/siliguri/prasad-hotel-janta-nagar/info,Siliguri,"36, Church Road, Gulab Bhawan, Janta Nagar, Siliguri",Opens at 9am,+919832637386,3.3,77,3.9,"5,771"
Sagar Hotel,"Nayapara, Siliguri",North Indian,₹300 for two,https://www.zomato.com/siliguri/sagar-hotel-nayapara/info,Siliguri,"NJP, Opposite Railway Station, Bhaktinagar, Nayapara, Siliguri",12midnight – 11:30pm,Not available for this place,-,3,-,0
Minarva Resto Bar by Hotel Appolo,"Pradhan Nagar, Siliguri","Sandwich, Fast Food, Continental, South Indian, Chinese, North Indian, Mughlai, Beverages","₹1,200 for two",https://www.zomato.com/siliguri/minarva-resto-bar-by-hotel-appolo-pradhan-nagar/info,Siliguri,"NH 31, Mallaguri, PO Pradhan Nagar, Siliguri",7:30am – 10:30pm,"+919933396297,+913532512581",3.9,9,3.9,213
Skkky,"Patiram Jote, Siliguri","North Indian, Chinese, Mughlai, Momos, Biryani, Beverages, Sichuan",₹600 for two,https://www.zomato.com/siliguri/skkky-patiram-jote/info,Siliguri,"Quantum Building, Paribahan Nagar, Matigara, Patiram Jote, Siliguri",Opens at 11am,"+913532571700,+919002370023",4.1,133,3.8,325
Kasturi Restaurant,"Janta Nagar, Siliguri","Bengali, Bangladeshi, Biryani, Desserts",₹600 for two,https://www.zomato.com/siliguri/kasturi-restaurant-janta-nagar/info,Siliguri,"349/597, Ashoka Complex, Sevoke Road, Janta Nagar, Siliguri",Opens at 10am,+918584048860,-,1,3.6,92
Chai Sutta Bar,"Janta Nagar, Siliguri","Pizza, Burger, Sandwich, Fast Food, Beverages",₹250 for two,https://www.zomato.com/siliguri/chai-sutta-bar-janta-nagar/info,Siliguri,"Barua Square, Ward 10, Sevoke Road, Janta Nagar, Siliguri",Opens at 9:30am,+917001541859,3.6,7,4.1,210
Baba Dum Biryani,"Pradhan Nagar, Siliguri","Biryani, Chinese",₹350 for two,https://www.zomato.com/siliguri/baba-dum-biryani-pradhan-nagar/info,Siliguri,"Hill Cart Road, Pradhan Nagar, Siliguri",Opens at 9am,+917908687120,3.4,4,3.4,"1,408"
Icy Hot,"Khalpara, Siliguri","Bakery, Desserts",₹300 for two,https://www.zomato.com/siliguri/icy-hot-khalpara/info,Siliguri,"S F Road, Ward 17, Khalpara, Siliguri",Opens at 9:30am,+918768000009,3.3,15,3.7,45
Monarch Restaurant,"Janta Nagar, Siliguri","Chinese, North Indian, South Indian, Fast Food, Beverages",₹500 for two,https://www.zomato.com/siliguri/monarch-restaurant-janta-nagar/info,Siliguri,"H103/447/226/176, Sevoke Road, Janta Nagar, Siliguri",8am – 12midnight,+919832062155,3.1,16,New,0
Hotel Mayor Restaurant,"Khalpara, Siliguri","North Indian, South Indian, Chinese",₹500 for two,https://www.zomato.com/siliguri/hotel-mayor-restaurant-khalpara/info,Siliguri,"Hotel Mayor, Sevoke Road, Sevoke Mor, Khalpara, Siliguri",8am – 10:30pm,"+918348233381,+919932754528",3.3,10,3.6,236
The Horror Cafe,"Pradhan Nagar, Siliguri",North Eastern,₹250 for two,https://www.zomato.com/siliguri/the-horror-cafe-1-pradhan-nagar/info,Siliguri,"Near Disha Medical Hall, Nivedita Road, Pradhan Nagar, Siliguri",24 Hours,+918929453037,-,0,-,0
